Started sim OpenDominion\Sim\Merfolk\LowSchoolsRr\Sim at 2021-07-06 13:09:19
Tick 456 (day 23 hr 0): 2911			 op: 0;	dp: 187636;	u1: 0;	u2: 5557 (0);	u3: 20129 (849);	u4: 0 (0);	peas: 34934
Tick 468 (day 23 hr 12): 2980			 op: 0;	dp: 202482;	u1: 0;	u2: 5557 (0);	u3: 21078 (1676);	u4: 0 (0);	peas: 35149
Tick 480 (day 24 hr 0): 3009			 op: 0;	dp: 204277;	u1: 0;	u2: 5557 (0);	u3: 22754 (0);	u4: 0 (0);	peas: 35261
Tick 492 (day 24 hr 12): 3122			 op: 0;	dp: 207946;	u1: 0;	u2: 5557 (0);	u3: 22826 (428);	u4: 0 (0);	peas: 37651
Tick 504 (day 25 hr 0): 3209			 op: 0;	dp: 208197;	u1: 0;	u2: 5557 (0);	u3: 23254 (0);	u4: 0 (0);	peas: 38881
Tick 516 (day 25 hr 12): 3311			 op: 0;	dp: 213325;	u1: 0;	u2: 5557 (0);	u3: 23326 (598);	u4: 0 (0);	peas: 40933
Tick 528 (day 26 hr 0): 3395			 op: 0;	dp: 213749;	u1: 0;	u2: 5557 (0);	u3: 23924 (0);	u4: 0 (0);	peas: 42056
Tick 540 (day 26 hr 12): 3500			 op: 0;	dp: 218804;	u1: 0;	u2: 5557 (0);	u3: 24022 (566);	u4: 0 (0);	peas: 44151
Tick 552 (day 27 hr 0): 3589			 op: 0;	dp: 219201;	u1: 0;	u2: 5557 (0);	u3: 24588 (0);	u4: 0 (0);	peas: 45377
Tick 564 (day 27 hr 12): 3695			 op: 0;	dp: 224269;	u1: 0;	u2: 5557 (0);	u3: 24684 (568);	u4: 0 (0);	peas: 47491
Tick 576 (day 28 hr 0): 3787			 op: 0;	dp: 224462;	u1: 0;	u2: 5557 (0);	u3: 25252 (0);	u4: 0 (0);	peas: 48808
Tick 588 (day 28 hr 12): 3894			 op: 0;	dp: 240708;	u1: 0;	u2: 5557 (0);	u3: 25354 (1939);	u4: 0 (0);	peas: 49555
Tick 600 (day 29 hr 0): 3930			 op: 0;	dp: 241913;	u1: 0;	u2: 5557 (0);	u3: 27293 (0);	u4: 0 (0);	peas: 49826
Tick 612 (day 29 hr 12): 4048			 op: 0;	dp: 259674;	u1: 0;	u2: 5557 (0);	u3: 27407 (2114);	u4: 0 (0);	peas: 50549
Tick 624 (day 30 hr 0): 4068			 op: 0;	dp: 274444;	u1: 0;	u2: 5557 (0);	u3: 29766 (1385);	u4: 0 (0);	peas: 48992
Tick 636 (day 30 hr 12): 4127			 op: 0;	dp: 279317;	u1: 0;	u2: 5557 (0);	u3: 31323 (368);	u4: 0 (0);	peas: 50198
Tick 648 (day 31 hr 0): 4237			 op: 0;	dp: 279245;	u1: 0;	u2: 5557 (0);	u3: 31691 (0);	u4: 0 (0);	peas: 51930
Tick 660 (day 31 hr 12): 4335			 op: 0;	dp: 289798;	u1: 0;	u2: 5557 (0);	u3: 31805 (1219);	u4: 0 (0);	peas: 53155
Tick 672 (day 32 hr 0): 4405			 op: 0;	dp: 290542;	u1: 0;	u2: 5557 (0);	u3: 33024 (0);	u4: 0 (0);	peas: 54126
Tick 684 (day 32 hr 12): 4512			 op: 0;	dp: 300609;	u1: 0;	u2: 5557 (0);	u3: 33135 (1169);	u4: 0 (0);	peas: 55528
Tick 696 (day 33 hr 0): 4584			 op: 0;	dp: 301174;	u1: 0;	u2: 5557 (0);	u3: 34304 (0);	u4: 0 (0);	peas: 56565
Tick 708 (day 33 hr 12): 4690			 op: 0;	dp: 322115;	u1: 0;	u2: 5557 (0);	u3: 34437 (2468);	u4: 0 (0);	peas: 56699
Tick 720 (day 34 hr 0): 4710			 op: 0;	dp: 329642;	u1: 0;	u2: 5557 (0);	u3: 37183 (442);	u4: 0 (0);	peas: 56058
Tick 732 (day 34 hr 12): 4806			 op: 0;	dp: 351810;	u1: 0;	u2: 5557 (0);	u3: 37824 (2524);	u4: 0 (0);	peas: 55807
Tick 744 (day 35 hr 0): 4826			 op: 0;	dp: 362171;	u1: 0;	u2: 5557 (0);	u3: 40627 (771);	u4: 0 (0);	peas: 54874
Tick 756 (day 35 hr 12): 4909			 op: 0;	dp: 373606;	u1: 0;	u2: 5557 (0);	u3: 41560 (1205);	u4: 0 (0);	peas: 55662
Tick 768 (day 36 hr 0): 4983			 op: 0;	dp: 374333;	u1: 0;	u2: 5557 (0);	u3: 42765 (0);	u4: 0 (0);	peas: 56722
Tick 780 (day 36 hr 12): 5082			 op: 0;	dp: 386678;	u1: 0;	u2: 5557 (0);	u3: 42877 (1440);	u4: 0 (0);	peas: 57704
Tick 792 (day 37 hr 0): 5146			 op: 0;	dp: 387430;	u1: 0;	u2: 5557 (0);	u3: 44317 (0);	u4: 0 (0);	peas: 58605
Tick 804 (day 37 hr 12): 5247			 op: 0;	dp: 399667;	u1: 0;	u2: 5557 (0);	u3: 44435 (1418);	u4: 0 (0);	peas: 59639
Tick 816 (day 38 hr 0): 5313			 op: 0;	dp: 400410;	u1: 0;	u2: 5557 (0);	u3: 45853 (0);	u4: 0 (0);	peas: 60570
Tick 828 (day 38 hr 12): 5413			 op: 0;	dp: 411686;	u1: 0;	u2: 5557 (0);	u3: 45977 (1293);	u4: 0 (0);	peas: 61702
Tick 840 (day 39 hr 0): 5484			 op: 0;	dp: 412381;	u1: 0;	u2: 5557 (0);	u3: 47270 (0);	u4: 0 (0);	peas: 62730
Tick 852 (day 39 hr 12): 5583			 op: 0;	dp: 425831;	u1: 0;	u2: 5557 (0);	u3: 47400 (1550);	u4: 0 (0);	peas: 63578
Tick 864 (day 40 hr 0): 5648			 op: 0;	dp: 426730;	u1: 0;	u2: 5557 (0);	u3: 48950 (0);	u4: 0 (0);	peas: 64472
Tick 876 (day 40 hr 12): 5747			 op: 0;	dp: 442381;	u1: 0;	u2: 5557 (0);	u3: 49109 (1350);	u4: 0 (0);	peas: 65502
Tick 888 (day 41 hr 0): 5818			 op: 0;	dp: 451332;	u1: 0;	u2: 5557 (0);	u3: 50459 (0);	u4: 0 (0);	peas: 66522
Tick 900 (day 41 hr 12): 5919			 op: 0;	dp: 454439;	u1: 0;	u2: 5557 (0);	u3: 50459 (0);	u4: 0 (0);	peas: 69077
Tick 912 (day 42 hr 0): 6026			 op: 0;	dp: 462059;	u1: 0;	u2: 5557 (0);	u3: 50459 (0);	u4: 0 (0);	peas: 70881
