Started sim OpenDominion\Sim\Icekin\Convert\WizTech\Sim at 2021-05-06 15:15:36
Tick 456 (day 23 hr 0): 3083			 op: 44849;	dp: 184804;	u1: 0;	u2: 6520 (0);	u3: 20917 (0);	u4: 3541 (2316);	peas: 33178
Tick 468 (day 23 hr 12): 3083			 op: 47839;	dp: 185355;	u1: 0;	u2: 6520 (0);	u3: 20989 (2005);	u4: 5857 (311);	peas: 31408
Tick 480 (day 24 hr 0): 3103			 op: 64715;	dp: 200960;	u1: 0;	u2: 6520 (0);	u3: 22994 (0);	u4: 6331 (1911);	peas: 29451
Tick 492 (day 24 hr 12): 3103			 op: 74935;	dp: 201312;	u1: 0;	u2: 6520 (0);	u3: 23040 (626);	u4: 8242 (1193);	peas: 28246
Tick 504 (day 25 hr 0): 3123			 op: 90793;	dp: 206398;	u1: 0;	u2: 6520 (0);	u3: 23666 (0);	u4: 9584 (1730);	peas: 26490
Tick 516 (day 25 hr 12): 3123			 op: 99958;	dp: 206742;	u1: 0;	u2: 6520 (0);	u3: 23692 (623);	u4: 11314 (1043);	peas: 25505
Tick 528 (day 26 hr 0): 3143			 op: 113861;	dp: 211925;	u1: 0;	u2: 6520 (0);	u3: 24315 (0);	u4: 12492 (1591);	peas: 24509
Tick 540 (day 26 hr 12): 3143			 op: 121380;	dp: 212009;	u1: 0;	u2: 6520 (0);	u3: 24326 (642);	u4: 14083 (930);	peas: 23999
Tick 552 (day 27 hr 0): 3163			 op: 134453;	dp: 216825;	u1: 0;	u2: 6520 (0);	u3: 24968 (0);	u4: 15140 (1500);	peas: 22963
Tick 564 (day 27 hr 12): 3163			 op: 140914;	dp: 216894;	u1: 0;	u2: 6520 (0);	u3: 24977 (713);	u4: 16640 (786);	peas: 22391
Tick 576 (day 28 hr 0): 3183			 op: 153190;	dp: 222440;	u1: 0;	u2: 6520 (0);	u3: 25690 (0);	u4: 17546 (1408);	peas: 21375
Tick 588 (day 28 hr 12): 3183			 op: 153309;	dp: 222494;	u1: 0;	u2: 6520 (0);	u3: 25697 (1610);	u4: 18954 (0);	peas: 20566
Tick 600 (day 29 hr 0): 3203			 op: 161713;	dp: 235861;	u1: 0;	u2: 6520 (0);	u3: 27451 (347);	u4: 18954 (1032);	peas: 19520
Tick 612 (day 29 hr 12): 3203			 op: 161713;	dp: 238549;	u1: 0;	u2: 6520 (0);	u3: 27801 (1479);	u4: 19986 (0);	peas: 18822
Tick 624 (day 30 hr 0): 3223			 op: 161629;	dp: 250811;	u1: 0;	u2: 6520 (0);	u3: 29413 (1493);	u4: 19986 (0);	peas: 17586
Tick 636 (day 30 hr 12): 3223			 op: 161629;	dp: 262564;	u1: 0;	u2: 6520 (0);	u3: 30920 (1378);	u4: 19986 (0);	peas: 17007
Tick 648 (day 31 hr 0): 3243			 op: 168359;	dp: 274172;	u1: 0;	u2: 6520 (0);	u3: 32420 (328);	u4: 19986 (843);	peas: 16025
Tick 660 (day 31 hr 12): 3243			 op: 168505;	dp: 276747;	u1: 0;	u2: 6520 (0);	u3: 32755 (1221);	u4: 20829 (0);	peas: 15473
Tick 672 (day 32 hr 0): 3263			 op: 176276;	dp: 286863;	u1: 0;	u2: 6520 (0);	u3: 34089 (59);	u4: 20829 (972);	peas: 14719
Tick 684 (day 32 hr 12): 3263			 op: 176276;	dp: 287316;	u1: 0;	u2: 6520 (0);	u3: 34148 (1138);	u4: 21801 (0);	peas: 14262
Tick 696 (day 33 hr 0): 3283			 op: 182674;	dp: 296723;	u1: 0;	u2: 6520 (0);	u3: 35391 (188);	u4: 21801 (803);	peas: 13518
Tick 708 (day 33 hr 12): 3283			 op: 182817;	dp: 298400;	u1: 0;	u2: 6520 (0);	u3: 35579 (1048);	u4: 22604 (0);	peas: 13088
Tick 720 (day 34 hr 0): 3283			 op: 182817;	dp: 307369;	u1: 0;	u2: 6520 (0);	u3: 36726 (1100);	u4: 22604 (0);	peas: 12102
