Started sim OpenDominion\Sim\Merfolk\Masons\Sim at 2021-07-06 20:51:08
Tick 468 (day 23 hr 12): 3245			 op: 0;	dp: 174209;	u1: 0;	u2: 5562 (0);	u3: 16477 (1496);	u4: 0 (0);	peas: 55059
Tick 480 (day 24 hr 0): 3273			 op: 0;	dp: 175174;	u1: 0;	u2: 5562 (0);	u3: 17990 (0);	u4: 0 (0);	peas: 56607
Tick 492 (day 24 hr 12): 3393			 op: 0;	dp: 179318;	u1: 0;	u2: 5562 (0);	u3: 18044 (451);	u4: 0 (0);	peas: 58870
Tick 504 (day 25 hr 0): 3481			 op: 0;	dp: 180084;	u1: 0;	u2: 5562 (0);	u3: 18495 (0);	u4: 0 (0);	peas: 61530
Tick 516 (day 25 hr 12): 3589			 op: 0;	dp: 184004;	u1: 0;	u2: 5562 (0);	u3: 18544 (348);	u4: 0 (0);	peas: 64317
Tick 528 (day 26 hr 0): 3688			 op: 0;	dp: 184615;	u1: 0;	u2: 5562 (0);	u3: 18892 (0);	u4: 0 (0);	peas: 66992
Tick 540 (day 26 hr 12): 3796			 op: 0;	dp: 188580;	u1: 0;	u2: 5562 (0);	u3: 18944 (342);	u4: 0 (0);	peas: 69840
Tick 552 (day 27 hr 0): 3897			 op: 0;	dp: 189123;	u1: 0;	u2: 5562 (0);	u3: 19286 (0);	u4: 0 (0);	peas: 72587
Tick 564 (day 27 hr 12): 4005			 op: 0;	dp: 193008;	u1: 0;	u2: 5562 (0);	u3: 19341 (326);	u4: 0 (0);	peas: 75412
Tick 576 (day 28 hr 0): 4107			 op: 0;	dp: 193479;	u1: 0;	u2: 5562 (0);	u3: 19667 (0);	u4: 0 (0);	peas: 78226
Tick 588 (day 28 hr 12): 4214			 op: 0;	dp: 206475;	u1: 0;	u2: 5562 (0);	u3: 19729 (1376);	u4: 0 (0);	peas: 80020
Tick 600 (day 29 hr 0): 4272			 op: 0;	dp: 207049;	u1: 0;	u2: 5562 (0);	u3: 21105 (0);	u4: 0 (0);	peas: 82234
Tick 612 (day 29 hr 12): 4387			 op: 0;	dp: 226322;	u1: 0;	u2: 5562 (0);	u3: 21186 (2119);	u4: 0 (0);	peas: 82967
Tick 624 (day 30 hr 0): 4407			 op: 0;	dp: 234369;	u1: 0;	u2: 5562 (0);	u3: 23552 (554);	u4: 0 (0);	peas: 83994
