Started sim OpenDominion\Sim\Merfolk\LowSchools\Sim at 2021-07-06 12:52:49
Tick 468 (day 23 hr 12): 2883			 op: 0;	dp: 200885;	u1: 0;	u2: 5557 (0);	u3: 20358 (1356);	u4: 0 (0);	peas: 35117
Tick 480 (day 24 hr 0): 2903			 op: 0;	dp: 204715;	u1: 0;	u2: 5557 (0);	u3: 21864 (0);	u4: 0 (0);	peas: 35041
Tick 492 (day 24 hr 12): 3007			 op: 0;	dp: 207617;	u1: 0;	u2: 5557 (0);	u3: 21940 (229);	u4: 0 (0);	peas: 37408
Tick 504 (day 25 hr 0): 3095			 op: 0;	dp: 208648;	u1: 0;	u2: 5557 (0);	u3: 22169 (0);	u4: 0 (0);	peas: 38641
Tick 516 (day 25 hr 12): 3189			 op: 0;	dp: 213018;	u1: 0;	u2: 5557 (0);	u3: 22225 (419);	u4: 0 (0);	peas: 40755
Tick 528 (day 26 hr 0): 3274			 op: 0;	dp: 214139;	u1: 0;	u2: 5557 (0);	u3: 22644 (0);	u4: 0 (0);	peas: 42496
Tick 540 (day 26 hr 12): 3372			 op: 0;	dp: 218358;	u1: 0;	u2: 5557 (0);	u3: 22717 (393);	u4: 0 (0);	peas: 44720
Tick 552 (day 27 hr 0): 3463			 op: 0;	dp: 218983;	u1: 0;	u2: 5557 (0);	u3: 23110 (0);	u4: 0 (0);	peas: 46056
Tick 564 (day 27 hr 12): 3565			 op: 0;	dp: 223510;	u1: 0;	u2: 5557 (0);	u3: 23186 (434);	u4: 0 (0);	peas: 48278
Tick 576 (day 28 hr 0): 3658			 op: 0;	dp: 224238;	u1: 0;	u2: 5557 (0);	u3: 23620 (0);	u4: 0 (0);	peas: 49613
Tick 588 (day 28 hr 12): 3762			 op: 0;	dp: 239539;	u1: 0;	u2: 5557 (0);	u3: 23701 (1700);	u4: 0 (0);	peas: 50655
Tick 600 (day 29 hr 0): 3801			 op: 0;	dp: 241036;	u1: 0;	u2: 5557 (0);	u3: 25401 (0);	u4: 0 (0);	peas: 50949
Tick 612 (day 29 hr 12): 3918			 op: 0;	dp: 258946;	u1: 0;	u2: 5557 (0);	u3: 25504 (1983);	u4: 0 (0);	peas: 51902
Tick 624 (day 30 hr 0): 3938			 op: 0;	dp: 272852;	u1: 0;	u2: 5557 (0);	u3: 27718 (1161);	u4: 0 (0);	peas: 50601
Tick 636 (day 30 hr 12): 4005			 op: 0;	dp: 278011;	u1: 0;	u2: 5557 (0);	u3: 29019 (362);	u4: 0 (0);	peas: 51987
