Started sim OpenDominion\Sim\Merfolk\MasonsSchoolsRr\Sim at 2021-07-06 22:28:36
Tick 456 (day 23 hr 0): 2900			 op: 0;	dp: 184470;	u1: 0;	u2: 3324 (0);	u3: 17261 (390);	u4: 0 (0);	peas: 45843
Tick 468 (day 23 hr 12): 2996			 op: 0;	dp: 197564;	u1: 0;	u2: 3324 (0);	u3: 17715 (1290);	u4: 0 (0);	peas: 46917
Tick 480 (day 24 hr 0): 3016			 op: 0;	dp: 200624;	u1: 0;	u2: 3324 (0);	u3: 19150 (49);	u4: 0 (0);	peas: 48401
Tick 492 (day 24 hr 12): 3138			 op: 0;	dp: 205064;	u1: 0;	u2: 3324 (0);	u3: 19268 (430);	u4: 0 (0);	peas: 50641
Tick 504 (day 25 hr 0): 3227			 op: 0;	dp: 206070;	u1: 0;	u2: 3324 (0);	u3: 19698 (0);	u4: 0 (0);	peas: 53317
Tick 516 (day 25 hr 12): 3342			 op: 0;	dp: 211005;	u1: 0;	u2: 3324 (0);	u3: 19744 (361);	u4: 0 (0);	peas: 56200
Tick 528 (day 26 hr 0): 3441			 op: 0;	dp: 211668;	u1: 0;	u2: 3324 (0);	u3: 20105 (0);	u4: 0 (0);	peas: 58915
Tick 540 (day 26 hr 12): 3557			 op: 0;	dp: 216343;	u1: 0;	u2: 3324 (0);	u3: 20163 (313);	u4: 0 (0);	peas: 61847
Tick 552 (day 27 hr 0): 3664			 op: 0;	dp: 217078;	u1: 0;	u2: 3324 (0);	u3: 20476 (0);	u4: 0 (0);	peas: 64795
Tick 564 (day 27 hr 12): 3780			 op: 0;	dp: 221894;	u1: 0;	u2: 3324 (0);	u3: 20537 (321);	u4: 0 (0);	peas: 67772
Tick 576 (day 28 hr 0): 3890			 op: 0;	dp: 222269;	u1: 0;	u2: 3324 (0);	u3: 20858 (0);	u4: 0 (0);	peas: 70704
Tick 588 (day 28 hr 12): 4007			 op: 0;	dp: 237325;	u1: 0;	u2: 3324 (0);	u3: 20934 (1332);	u4: 0 (0);	peas: 72713
Tick 600 (day 29 hr 0): 4067			 op: 0;	dp: 238221;	u1: 0;	u2: 3324 (0);	u3: 22266 (0);	u4: 0 (0);	peas: 75174
Tick 612 (day 29 hr 12): 4196			 op: 0;	dp: 259077;	u1: 0;	u2: 3324 (0);	u3: 22334 (1999);	u4: 0 (0);	peas: 76151
Tick 624 (day 30 hr 0): 4216			 op: 0;	dp: 270040;	u1: 0;	u2: 3324 (0);	u3: 24565 (676);	u4: 0 (0);	peas: 77349
Tick 636 (day 30 hr 12): 4316			 op: 0;	dp: 274333;	u1: 0;	u2: 3324 (0);	u3: 25356 (369);	u4: 0 (0);	peas: 79112
Tick 648 (day 31 hr 0): 4430			 op: 0;	dp: 274542;	u1: 0;	u2: 3324 (0);	u3: 25725 (0);	u4: 0 (0);	peas: 82022
Tick 660 (day 31 hr 12): 4545			 op: 0;	dp: 285545;	u1: 0;	u2: 3324 (0);	u3: 25805 (901);	u4: 0 (0);	peas: 84361
Tick 672 (day 32 hr 0): 4633			 op: 0;	dp: 286451;	u1: 0;	u2: 3324 (0);	u3: 26706 (0);	u4: 0 (0);	peas: 87112
Tick 684 (day 32 hr 12): 4753			 op: 0;	dp: 296277;	u1: 0;	u2: 3324 (0);	u3: 26789 (858);	u4: 0 (0);	peas: 89378
Tick 696 (day 33 hr 0): 4843			 op: 0;	dp: 296908;	u1: 0;	u2: 3324 (0);	u3: 27647 (0);	u4: 0 (0);	peas: 92208
Tick 708 (day 33 hr 12): 4961			 op: 0;	dp: 322904;	u1: 0;	u2: 3324 (0);	u3: 27752 (2382);	u4: 0 (0);	peas: 92868
Tick 720 (day 34 hr 0): 4994			 op: 0;	dp: 324009;	u1: 0;	u2: 3324 (0);	u3: 30134 (0);	u4: 0 (0);	peas: 95026
Tick 732 (day 34 hr 12): 5123			 op: 0;	dp: 350426;	u1: 0;	u2: 3324 (0);	u3: 30245 (2511);	u4: 0 (0);	peas: 95284
Tick 744 (day 35 hr 0): 5143			 op: 0;	dp: 355983;	u1: 0;	u2: 3324 (0);	u3: 33047 (60);	u4: 0 (0);	peas: 96945
Tick 756 (day 35 hr 12): 5268			 op: 0;	dp: 367682;	u1: 0;	u2: 3324 (0);	u3: 33270 (1069);	u4: 0 (0);	peas: 98295
Tick 768 (day 36 hr 0): 5352			 op: 0;	dp: 368458;	u1: 0;	u2: 3324 (0);	u3: 34339 (0);	u4: 0 (0);	peas: 101030
Tick 780 (day 36 hr 12): 5469			 op: 0;	dp: 380745;	u1: 0;	u2: 3324 (0);	u3: 34454 (1025);	u4: 0 (0);	peas: 103033
Tick 792 (day 37 hr 0): 5557			 op: 0;	dp: 380978;	u1: 0;	u2: 3324 (0);	u3: 35479 (0);	u4: 0 (0);	peas: 105848
Tick 804 (day 37 hr 12): 5672			 op: 0;	dp: 393504;	u1: 0;	u2: 3324 (0);	u3: 35602 (1031);	u4: 0 (0);	peas: 107764
