Started sim OpenDominion\Sim\Merfolk\AlchDm\Sim at 2021-07-06 12:20:49
Tick 468 (day 23 hr 12): 3324			 op: 0;	dp: 201053;	u1: 0;	u2: 5565 (0);	u3: 18755 (1574);	u4: 0 (0);	peas: 48909
Tick 480 (day 24 hr 0): 3354			 op: 0;	dp: 202214;	u1: 0;	u2: 5565 (0);	u3: 20329 (0);	u4: 0 (0);	peas: 50334
Tick 492 (day 24 hr 12): 3471			 op: 0;	dp: 206269;	u1: 0;	u2: 5565 (0);	u3: 20400 (421);	u4: 0 (0);	peas: 52826
Tick 504 (day 25 hr 0): 3560			 op: 0;	dp: 206642;	u1: 0;	u2: 5565 (0);	u3: 20821 (0);	u4: 0 (0);	peas: 54783
Tick 516 (day 25 hr 12): 3662			 op: 0;	dp: 211654;	u1: 0;	u2: 5565 (0);	u3: 20905 (505);	u4: 0 (0);	peas: 56844
Tick 528 (day 26 hr 0): 3750			 op: 0;	dp: 211654;	u1: 0;	u2: 5565 (0);	u3: 21410 (0);	u4: 0 (0);	peas: 58308
Tick 540 (day 26 hr 12): 3854			 op: 0;	dp: 217079;	u1: 0;	u2: 5565 (0);	u3: 21495 (521);	u4: 0 (0);	peas: 60252
Tick 552 (day 27 hr 0): 3943			 op: 0;	dp: 216942;	u1: 0;	u2: 5565 (0);	u3: 22016 (0);	u4: 0 (0);	peas: 61816
Tick 564 (day 27 hr 12): 4048			 op: 0;	dp: 222570;	u1: 0;	u2: 5565 (0);	u3: 22114 (533);	u4: 0 (0);	peas: 63710
Tick 576 (day 28 hr 0): 4139			 op: 0;	dp: 222429;	u1: 0;	u2: 5565 (0);	u3: 22647 (0);	u4: 0 (0);	peas: 65323
Tick 588 (day 28 hr 12): 4244			 op: 0;	dp: 238882;	u1: 0;	u2: 5565 (0);	u3: 22752 (1755);	u4: 0 (0);	peas: 65994
Tick 600 (day 29 hr 0): 4286			 op: 0;	dp: 238769;	u1: 0;	u2: 5565 (0);	u3: 24507 (0);	u4: 0 (0);	peas: 66967
Tick 612 (day 29 hr 12): 4402			 op: 0;	dp: 258501;	u1: 0;	u2: 5565 (0);	u3: 24610 (2124);	u4: 0 (0);	peas: 67504
Tick 624 (day 30 hr 0): 4422			 op: 0;	dp: 271430;	u1: 0;	u2: 5565 (0);	u3: 26979 (1209);	u4: 0 (0);	peas: 66649
Tick 636 (day 30 hr 12): 4489			 op: 0;	dp: 276948;	u1: 0;	u2: 5565 (0);	u3: 28347 (465);	u4: 0 (0);	peas: 67992
Tick 648 (day 31 hr 0): 4593			 op: 0;	dp: 276599;	u1: 0;	u2: 5565 (0);	u3: 28812 (0);	u4: 0 (0);	peas: 70781
Tick 660 (day 31 hr 12): 4693			 op: 0;	dp: 287815;	u1: 0;	u2: 5565 (0);	u3: 28944 (1110);	u4: 0 (0);	peas: 72752
Tick 672 (day 32 hr 0): 4767			 op: 0;	dp: 287653;	u1: 0;	u2: 5565 (0);	u3: 30054 (15);	u4: 0 (0);	peas: 74133
Tick 684 (day 32 hr 12): 4872			 op: 0;	dp: 298558;	u1: 0;	u2: 5565 (0);	u3: 30189 (1105);	u4: 0 (0);	peas: 75437
Tick 696 (day 33 hr 0): 4947			 op: 0;	dp: 298393;	u1: 0;	u2: 5565 (0);	u3: 31294 (0);	u4: 0 (0);	peas: 76800
Tick 708 (day 33 hr 12): 5052			 op: 0;	dp: 322056;	u1: 0;	u2: 5565 (0);	u3: 31432 (2530);	u4: 0 (0);	peas: 76764
Tick 720 (day 34 hr 0): 5072			 op: 0;	dp: 325750;	u1: 0;	u2: 5565 (0);	u3: 34246 (130);	u4: 0 (0);	peas: 76874
Tick 732 (day 34 hr 12): 5179			 op: 0;	dp: 350097;	u1: 0;	u2: 5565 (0);	u3: 34578 (2558);	u4: 0 (0);	peas: 76722
Tick 744 (day 35 hr 0): 5199			 op: 0;	dp: 358328;	u1: 0;	u2: 5565 (0);	u3: 37424 (638);	u4: 0 (0);	peas: 77838
Tick 756 (day 35 hr 12): 5288			 op: 0;	dp: 371688;	u1: 0;	u2: 5565 (0);	u3: 38237 (1333);	u4: 0 (0);	peas: 78596
Tick 768 (day 36 hr 0): 5359			 op: 0;	dp: 371365;	u1: 0;	u2: 5565 (0);	u3: 39570 (0);	u4: 0 (0);	peas: 81261
Tick 780 (day 36 hr 12): 5460			 op: 0;	dp: 384406;	u1: 0;	u2: 5565 (0);	u3: 39711 (1322);	u4: 0 (0);	peas: 82668
Tick 792 (day 37 hr 0): 5529			 op: 0;	dp: 384254;	u1: 0;	u2: 5565 (0);	u3: 41033 (0);	u4: 0 (0);	peas: 83937
Tick 804 (day 37 hr 12): 5630			 op: 0;	dp: 397583;	u1: 0;	u2: 5565 (0);	u3: 41177 (1355);	u4: 0 (0);	peas: 84932
Tick 816 (day 38 hr 0): 5700			 op: 0;	dp: 397268;	u1: 0;	u2: 5565 (0);	u3: 42532 (0);	u4: 0 (0);	peas: 86223
Tick 828 (day 38 hr 12): 5800			 op: 0;	dp: 413016;	u1: 0;	u2: 5565 (0);	u3: 42688 (1196);	u4: 0 (0);	peas: 87327
Tick 840 (day 39 hr 0): 5876			 op: 0;	dp: 420238;	u1: 0;	u2: 5565 (0);	u3: 43884 (0);	u4: 0 (0);	peas: 88694
Tick 852 (day 39 hr 12): 5974			 op: 0;	dp: 426426;	u1: 0;	u2: 5565 (0);	u3: 44029 (138);	u4: 0 (0);	peas: 90852
Tick 864 (day 40 hr 0): 6079			 op: 0;	dp: 432910;	u1: 0;	u2: 5565 (0);	u3: 44167 (0);	u4: 0 (0);	peas: 92656
Tick 876 (day 40 hr 12): 6170			 op: 0;	dp: 440203;	u1: 0;	u2: 5565 (0);	u3: 44332 (42);	u4: 0 (0);	peas: 94813
Tick 888 (day 41 hr 0): 6277			 op: 0;	dp: 445768;	u1: 0;	u2: 5565 (0);	u3: 44374 (0);	u4: 0 (0);	peas: 96673
