Started sim OpenDominion\Sim\Firewalker\Alchs\Sim at 2021-03-04 22:52:40
Tick 516 (day 25 hr 12): 4283			 op: 0;	dp: 213891;	u1: 0;	u2: 15578;	u3: 29066;	u4: 0;	peas: 43789
Tick 528 (day 26 hr 0): 4403			 op: 0;	dp: 214079;	u1: 0;	u2: 15578;	u3: 29066;	u4: 0;	peas: 45717
Tick 540 (day 26 hr 12): 4500			 op: 0;	dp: 216966;	u1: 0;	u2: 15578;	u3: 29324;	u4: 0;	peas: 44645
Tick 552 (day 27 hr 0): 4527			 op: 0;	dp: 234643;	u1: 0;	u2: 15578;	u3: 32862;	u4: 0;	peas: 44765
Tick 564 (day 27 hr 12): 4646			 op: 0;	dp: 234473;	u1: 0;	u2: 15578;	u3: 32862;	u4: 0;	peas: 47651
Tick 576 (day 28 hr 0): 4763			 op: 0;	dp: 234567;	u1: 0;	u2: 15578;	u3: 32862;	u4: 0;	peas: 49594
Tick 588 (day 28 hr 12): 4860			 op: 0;	dp: 238465;	u1: 0;	u2: 15578;	u3: 33130;	u4: 0;	peas: 48127
Tick 600 (day 29 hr 0): 4887			 op: 0;	dp: 257681;	u1: 0;	u2: 15578;	u3: 36993;	u4: 0;	peas: 48672
Tick 612 (day 29 hr 12): 4998			 op: 0;	dp: 261939;	u1: 0;	u2: 15578;	u3: 37297;	u4: 0;	peas: 47364
Tick 624 (day 30 hr 0): 5018			 op: 0;	dp: 282986;	u1: 0;	u2: 15578;	u3: 41430;	u4: 0;	peas: 45777
Tick 636 (day 30 hr 12): 5090			 op: 0;	dp: 292537;	u1: 0;	u2: 15578;	u3: 43250;	u4: 0;	peas: 47915
Tick 648 (day 31 hr 0): 5210			 op: 0;	dp: 292353;	u1: 0;	u2: 15578;	u3: 43250;	u4: 0;	peas: 49979
Tick 660 (day 31 hr 12): 5306			 op: 0;	dp: 292291;	u1: 0;	u2: 15578;	u3: 43250;	u4: 0;	peas: 52472
Tick 672 (day 32 hr 0): 5423			 op: 0;	dp: 292317;	u1: 0;	u2: 15578;	u3: 43250;	u4: 0;	peas: 54443
Tick 684 (day 32 hr 12): 5518			 op: 0;	dp: 295597;	u1: 0;	u2: 15578;	u3: 43510;	u4: 0;	peas: 52297
Tick 696 (day 33 hr 0): 5538			 op: 0;	dp: 320485;	u1: 0;	u2: 15578;	u3: 48276;	u4: 0;	peas: 52057
Tick 708 (day 33 hr 12): 5636			 op: 0;	dp: 325098;	u1: 0;	u2: 15578;	u3: 49017;	u4: 0;	peas: 50000
Tick 720 (day 34 hr 0): 5661			 op: 0;	dp: 349360;	u1: 0;	u2: 15578;	u3: 53470;	u4: 0;	peas: 50320
Tick 732 (day 34 hr 12): 5762			 op: 0;	dp: 352116;	u1: 0;	u2: 15578;	u3: 53862;	u4: 0;	peas: 48381
Tick 744 (day 35 hr 0): 5782			 op: 0;	dp: 376099;	u1: 0;	u2: 15578;	u3: 58534;	u4: 0;	peas: 47393
Tick 756 (day 35 hr 12): 5866			 op: 0;	dp: 382072;	u1: 0;	u2: 15578;	u3: 59626;	u4: 0;	peas: 49703
Tick 768 (day 36 hr 0): 5977			 op: 0;	dp: 382705;	u1: 0;	u2: 15578;	u3: 59626;	u4: 0;	peas: 51563
Tick 780 (day 36 hr 12): 6063			 op: 0;	dp: 384238;	u1: 0;	u2: 15578;	u3: 59909;	u4: 0;	peas: 49226
Tick 792 (day 37 hr 0): 6090			 op: 0;	dp: 408277;	u1: 0;	u2: 15578;	u3: 64486;	u4: 0;	peas: 49658
